ResponseId,"To the best of your understanding, how do online exam proctoring tools work?",Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
R_2Sf1Vut3f1TgHKd,"I only know of something called a ""lockdown browser"", but have no clue of its commercial name(s). I have heard it prevents opening up new browser windows and guess it also accesses the student camera and records IP addressed. I assume there are other tools, but I know no brand names.",restrict_activities,restrict_activities->lockdown_browser,monitor_students,monitor_students->webcam,monitor_students->tracks_IP,,,
R_0oKhAGAqhiKVgNX,I know nothing about this.,don't_know,don't_know->unaware,,,,,,
R_1onCUPhQRfLiZ0E,"Admittedly I know very little about these tools, but I'd imagine that they might lock out browsers, may utilize cameras and monitor eye engagement (i.e. looking for a student conversing with someone in the room with them), etc.",restrict_activities,restrict_activities->lockdown_browser,monitor_students,monitor_students->track_behavior,flag_anomalies,,,
R_2aDIELLn4oy7rNy,I have no knowledge of all the mentioned.,don't_know,don't_know->unaware,,,,,,
R_2tlZohIbvRSb9CC,They prevent students from opening additional programs on thier computers and use visual algorithms to determine whether they are looking anywhere orher than their keyboards,restrict_activities,restrict_activities->lockdown_browser,monitor_students->track_eye_movement,,,,,
R_3O9eWH7emH7BtmM,"I'm more experienced with lockdown browser. Online proctoring has always made me nervous from a privacy POV. As I understand it, students are being recorded through their computer camera as they take their exam.",monitor_students,monitor_students->webcam,monitor_students->record_session,,,,,
R_T4WwqSQxQZb4O53,Not sure,don't_know,,,,,,,
R_R9urgsPVMgTqLaF,To be able to observed (online) the proper conduct for an online exam,enforce_exam_rules,,,,,,,
R_307EYv4RFgiW672,"They lock down the browser in which the students are working, so that the students cannot change the window/tab in which they are working. They can also provide a video camera feed of the student while they are taking the exam. Some also track body and eye movement to make sure that students are in front of the computer and looking at the screen at all times.",restrict_activities,restrict_activities->lockdown_browser,monitor_students,monitor_students->webcam,monitor_students->track_behavior,,,
R_2PzKOOn0yHeLdVF,Cameras watch students while they take an exam to make sure they are not accessing other materials while they take it.,monitor_students,monitor_students->track_behavior,,,,,,
R_1rqRoO7vHJP4Vh1,no idea,don't_know,,,,,,,
R_31FSGNhja32PnoS,"A student must set up a camera, scan their environment in a specified way, show their ID, then take the exam. The system monitors the student's behavior during the exam and the material shown on the student's screen. The videos are previewed by someone from the proctoring system and if the status of the exam is suspicious or shows improper activity (like the student forgot to show his/her/their ID), then the exam is flagged for the instructor to review and evaluate. Improper activity is reported directly to the students by the proctoring system, but suspicious activity is not. If the instructor feels that further investigation is warranted, then the incident is reported to the university and the student is notified.",monitor_students,monitor_students->webcam,monitor_students->track_behavior,monitor_students->record_session,flag_anomalies,,,
R_1NyVWtmGrLfvswm,Uses video/audio to observe students work,monitor_students,monitor_students->webcam,,,,,,
R_24Bl50GG9gnxnww,"I do not use exams in my courses, so I haven't taken the time to understand how they work.",don't_use,don't_know,,,,,,
R_2YMvWaESi0rZX5E,they monitor the student's movements and other environmental data to determine if cheating may be involved,monitor_students,monitor_students->track_behavior,monitor_students->track_environment,flag_anomalies,,,,
R_2WZ1vAHPkYDJ5rS,"Students' desktop and camera are recorded during the exam, and instructors can allow or disallow access to online resources and other software. Monitoring software tracks the location of the student, where they are looking in the room, sound in the room, if anyone else enters the room, etc.",monitor_students,monitor_students->track_behavior,monitor_students->track_location,monitor_students->track_environment,,,,
R_vpKTSO9KtxwyzfP,"Surveillance of students during testing; checking for plagiarism, copying, cheating off of the Internet",monitor_students,flag_anomalies,,,,,,
R_1Qmc5taIHgtiqm7,They are basically useless,badly,,,,,,,
R_qEZVjMViTlsTs3v,They lock down browser. Some scan the eyes. Some watch the place the student is sitting at.,restrict_activities,restrict_activities->lockdown_browser,monitor_students,monitor_students->track_eye_movement,,,,
R_2qgbEu23HZIOAqU,the computer camera and applications check the activities of exam takers as for access to external assistance,monitor_students,monitor_students->track_behavior,flag_anomalies,,,,,
R_1JRgXi5Eg2fMWYz,"""1) record video and audio (decimated samples) and computer status/screens 2) recordings reviewed by humans for unauthorized actions 3) issues/violations reviewed by instructors""",monitor_students,monitor_students->record_session,flag_anomalies,,,,,
R_1QxVeuN5pqhS8yR,"I'm not sure, but I believe the students are locked out of certain websites and maybe they are observed via their computer video.",restrict_activities,monitor_students,monitor_students->webcam,,,,,
R_2whmJviFAaRw9RV,The student's computer is locked so it can access the online exam but cannot access the internet.,restrict_activities,,,,,,,
R_2dhlE62KjqYZ0hI,Integrate with Blackboard. Lock computer. Use camera to record student's face and surroundings.,restrict_activities,monitor_students,monitor_students->webcam,,,,,
R_sjwQZjSvOL4N0iZ,I was nor aware of these tools.,don't_know,don't_know->unaware,,,,,,
R_10JkyaqtghvvPfm,Beats me,don't_know,,,,,,,
R_3lLJ0ctWXHKfOGE,don't know as I use narrative rather than multiple choice,don't_know,don't_use,,,,,,
R_2cpU0t03W588QiF,I haven't used them or researched them,don't_know,don't_know->unaware,,,,,,
R_3fUjQeLbWYhY2Xk,"They monitor which screen has “focus” to prevent the use of multiple screens, monitor key-stroke frequency and use the camera / microphone to monitor for when the user looks elsewhere or converses",restrict_activities,monitor_students,monitor_students->webcam,monitor_students->track_behavior,,,,
R_PtbOw21pU4MF2jn,I do not use such tools because I do not give tests or exams. My final grades are based on between 6 and 8 written assignments spread out over the semester.,don't_use,,,,,,,
R_DdkxPAgkOOEIdk5,"Through software that may be installed on the student's computer, a webcam that may be used to monitor help from others, checking identity, and using outside disallowed sources to look things up. That is all I know.",monitor_students,monitor_students->verify_identity,monitor_students->track_behavior,,,,,
R_Q3Wg7U7OJHejNzb,Software tracks students online to determine integrity of students knowledge.,monitor_students,monitor_students->track_behavior,,,,,,
R_3L83vOnqHOsrXho,These software would record the test taking sessions within a course and would not allow the camera to be turned off. It would also block students from accessing any other software on their computers. I have also heard of software that will monitor if students appear to look away from their computer area and potentially dock points or disqualify them from the exam if they did not keep their eyes in the vicinity of the computer screen. It sounded like it was very invasive.,monitor_students,monitor_students->record_session,monitor_students->webcam,monitor_students->track_eye_movement,,,,
R_3dRiR1mLN9H3dfW,"Once launched on a user’s computer, proctoring software makes it impossible to access anything on the computer outside of the test window until the user submits the test. Software can also record the user (visual and audio) while the user is taking the test and can flag any suspicious activity (user getting up from the computer, looking down at table, etc.) for the instructor to later review to determine whether cheating occurred. Some programs offer live proctoring, which has an individual watching students take tests through their camera rather than a passive recording.",restrict_activities,monitor_students,monitor_students->webcam,monitor_students->record_session,flag_anomalies,,,
R_3PXf5ekMhWZBCgv,No idea,don't_know,,,,,,,
R_vYo0aOyeWA8X3vX,I have no idea. I have not heard of any of the above. The class I have been teaching does not have online exams.,don't_know,don't_know->unaware,,,,,,
R_3dXM08HWKFjSA8p,they use either AI or human monitoring that may be visual or may access a user's screen or machine activity to determine that they are not engaging in academic dishonesty,monitor_students,monitor_students->track_behavior,,,,,,
R_1LRJoZJO7s9RGf7,Students are recorded using their computer camera while taking the exam and then someone is supposed to view for suspicious activity and then flag for faculty to review as well. I have also heard there is some synchronous monitoring that can occur as well.,monitor_students,monitor_students->record_session,flag_anomalies,,,,,
R_2fqGPHTepa52Wwd,Monitor students activities during the exam to avoid the use of unauthorized resources.,monitor_students,enforce_exam_rules,,,,,,
R_3k079VHoAfDLM30,I have no idea!,don't_know,,,,,,,
R_NWiV5Rt0f9plEu5,"web cam records student taking the exam and flags suspicious activity like inability to see face, excessive movement or movement out of view. web browsers can also be locked down to prevent online access.",monitor_students,monitor_students->webcam,flag_anomalies,restrict_activities,restrict_activities->lockdown_browser,,,
R_3JIfP3sdUgTi1XS,didn't think about using it,don't_use,,,,,,,
R_1r07Pa4ecdVBFus,"They 'lock down' the student's computer to prevent access to web resources. They record the student's exam environment, confirm student identity and record the test taking session. They also provide a record of the student's computer screen throughout the exam.",monitor_students,monitor_students->verify_identity,,,,,,
R_1IQQnYLDAqQoVUI,AI software will film and track student movements to determine if students' face stay on screen and if they disappear from screen the software will flag it.,monitor_students,monitor_students->webcam,monitor_students->record_session,flag_anomalies,,,,
R_OcI5fmeuckGNlqV,"For respondus, it locks their screen so they can't go to other screens with the video capture it uses their webcam to video what they are doing.",restrict_activities,restrict_activities->lockdown_browser,monitor_students,monitor_students->webcam,,,,
