ResponseId,Why did you consider using online exam proctoring tools?,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
R_0U0B2olgqyGcKSB,,,,,,,,,
R_8ijttwuU0cKUceZ,,,,,,,,,
R_27pdl2TZQfXflW7,,,,,,,,,
R_2SDp29v28ZlDM4f,,,,,,,,,
R_27UWM1EiYGms76k,"In thinking about online exams, it was one idea that I had heard about as a possible way to do exams.",possible_exam_method,,,,,,,
R_tYfxFu9gfkt6vW9,I teach remotely and had a couple of cases of online cheating that I caught in the past.,cheating,cheating->caught_students,,,,,,
R_3O1ggqdW2o1ED6O,"In pre-pandemic times, I used to give in-person proctored exams and wondered if online proctoring would be a decent substitute for that.",possible_exam_method,possible_exam_method->sub_in_person_proctor,,,,,,
R_3D0jDp50GNynGGf,,,,,,,,,
R_2e3uabfZSi1lfTm,,,,,,,,,
R_1oALjHGBMZK2Tl0,,,,,,,,,
R_1NwwvkujyuX4mpG,,,,,,,,,
R_UxQuctG4213Pcu5,,,,,,,,,
R_RCWUMNsLphkZk0F,,,,,,,,,
R_tEQEo869tq2tzOh,I wanted to give exams online.,possible_exam_method,possible_exam_method->preferred_online,,,,,,
R_3NPBh2R2iMt7VeW,To make tests fair for all students,test_fairness,,,,,,,
R_3mgW1TjgfrdCTjI,,,,,,,,,
R_3sytupwrEflBlTI,,,,,,,,,
R_tKyvpEOLSwBjVbH,,,,,,,,,
R_w4NEuNRkKT8nOy5,,,,,,,,,
R_30jx8vSOILPjMiF,,,,,,,,,
R_1DRKoPpuRbnxnOs,,,,,,,,,
R_3PpJZEczV5RnR6u,,,,,,,,,
R_233o6HL3YqVM3cs,,,,,,,,,
R_2tM2H3FnzTmXrgs,On line proctoring was available and recommended by my institution.,recommended,possible_exam_method,,,,,,
R_2vdidSYAV1JmYIt,Cheating during exams is a serious (and somewhat common) issue. Being assured that cheating was kept to a minimum would provide confidence that grades were well-earned.,cheating,cheating->reduce,grade_confidence,,,,,
R_211cDsxTjtUvN6h,,,,,,,,,
R_3iRsl0B3QrTEfxN,,,,,,,,,
R_3qVgAjBxR2F6oXx,,,,,,,,,
R_2Sf1Vut3f1TgHKd,,,,,,,,,
R_0oKhAGAqhiKVgNX,,,,,,,,,
R_1onCUPhQRfLiZ0E,,,,,,,,,
R_2aDIELLn4oy7rNy,It should be more efficient and scientific.,test_efficiency,scientific,,,,,,
R_2tlZohIbvRSb9CC,"Students prefer ""in class"" exams to take-home exams as a rule",test_in_class,test_in_class->student_preference,,,,,,
R_3O9eWH7emH7BtmM,,,,,,,,,
R_T4WwqSQxQZb4O53,,,,,,,,,
R_R9urgsPVMgTqLaF,,,,,,,,,
R_307EYv4RFgiW672,I would like to deter or detect cheating on exams.,cheating,cheating->reduce,,,,,,
R_2PzKOOn0yHeLdVF,"I would love the opportunity for students to take exams online because they are more convenient for all of us. To do this, I would need some kind of online proctoring.",possible_exam_method,possible_exam_method->convenient,,,,,,
R_1rqRoO7vHJP4Vh1,,,,,,,,,
R_31FSGNhja32PnoS,,,,,,,,,
R_1NyVWtmGrLfvswm,I thought the students might not be completely honest as everyone was talking about.,lack_honesty,,,,,,,
R_24Bl50GG9gnxnww,,,,,,,,,
R_2YMvWaESi0rZX5E,,,,,,,,,
R_2WZ1vAHPkYDJ5rS,I have used them in the past for online summer courses.,possible_exam_method,possible_exam_method->used_previously,,,,,,
R_vpKTSO9KtxwyzfP,,,,,,,,,
R_qEZVjMViTlsTs3v,,,,,,,,,
R_1rD3FVbOKN57yWz,,,,,,,,,
R_1QxVeuN5pqhS8yR,,,,,,,,,
R_sjwQZjSvOL4N0iZ,,,,,,,,,
R_10JkyaqtghvvPfm,,,,,,,,,
R_3lLJ0ctWXHKfOGE,,,,,,,,,
R_2cpU0t03W588QiF,,,,,,,,,
R_3fUjQeLbWYhY2Xk,,,,,,,,,
R_PtbOw21pU4MF2jn,,,,,,,,,
R_DdkxPAgkOOEIdk5,"I had originally planned to give a time limited exam that would more or less simulate an in-class exam. Because I did not have enough information on how to do it, I switched to a take home exam.",simulate_in_class_exam,possible_exam_method,,,,,,
R_Q3Wg7U7OJHejNzb,,,,,,,,,
R_3L83vOnqHOsrXho,,,,,,,,,
R_3dRiR1mLN9H3dfW,"Identified numerous cases of suspected cheating on quizzes in my own courses. Was aware of verified cases of cheating on tests, quizzes, and homework in other courses.",cheating,cheating->caught_students,,,,,,
R_3PXf5ekMhWZBCgv,,,,,,,,,
R_vYo0aOyeWA8X3vX,,,,,,,,,
R_3dXM08HWKFjSA8p,,,,,,,,,
R_2fqGPHTepa52Wwd,Concerns over course exam integrity when taken online.,test_integrity,,,,,,,
R_3k079VHoAfDLM30,"Because exams are high-stakes, and there is an obvious incentive for students to cheat on them.",cheating,,,,,,,
R_NWiV5Rt0f9plEu5,There were not any other real options given the inability to meet face to face,possible_exam_method,possible_exam_method->only_option,,,,,,
R_3JIfP3sdUgTi1XS,,,,,,,,,
