ResponseId,Why did you ultimately choose not to use online exam proctoring tools?,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
R_2Sf1Vut3f1TgHKd,"I find the concept to be problematic. It feels invasive and I feel it erodes trust between student and professor, for me. Instead I took a completely different open-book, open note approach. I tested it out before Covid was even a thing in the fall of 2019. With an n of 200, I administered two exams in class, and two online at home throughout the semester. All open book open note. I found that the home online version still discriminated between better performing and lesser performing students (i.e score trends were the same) and found no evidence of widespread cheating (i.e. students who performed poorly in class did not perform better relative to their better-performing peers). At home scores were higher, so I adjusted the time window and difficulty of questions a little. My polling of students showed a great preference for the at home online format. They said they performed better because they could determine the timing and environment of the exam and it reduced exam anxiety for them.",harmful_to_students,harmful_to_students->invasive,trusts_students,open_book_exam,privacy_concerns,,,
R_0oKhAGAqhiKVgNX,"I was not aware of online exam proctoring tools. Also, the course I teach does not have exams (only written assignments and presentations)",unaware,no_exams,,,,,,
R_1onCUPhQRfLiZ0E,"I'm not entirely confident this tool would prevent cheating, and it also might greatly inhibit some students from taking an exam comfortably or even successfully (i.e. getting locked out of the exam if they look away because of a noise in their home vs. trying to discuss answers with someone else.)",does_not_prevent_cheating,,,,,,,
R_2aDIELLn4oy7rNy,I am not aware of them provided by GW.,unaware,,,,,,,
R_2tlZohIbvRSb9CC,"I could think of several ways to cheat the system, the system could flag too many honest variations (like looking up to think), and things like internet interruptions would have made it too cumbersome. Also, ultimately, if the system flagged a student, there was no way to prove they were cheating",does_not_prevent_cheating,,,,,,,
R_3O9eWH7emH7BtmM,"I use Lockdown Browser. My exams are timed. I have large question banks and randomized questions. All of these steps help reduce cheating. If they're cheating, they're not very good at it because their grades aren't great.",used_lockdown,,,,,,,
R_T4WwqSQxQZb4O53,No need,none,,,,,,,
R_R9urgsPVMgTqLaF,"I did not about this program so I chose other forms of evaluations such as papers, presentations and online one to one conversation about class materials",unaware,project_based_exams,,,,,,
R_307EYv4RFgiW672,"I heard from other instructors and from students that having the browser lock-down caused problems during the exam that added to the already elevated stress of test-taking. Some students did not have functioning webcams and therefore their system did not meet the requirements for online proctoring. Another student told me that their computer crashed during the exam and then they were locked out of the exam. Others said that the software gave them frequent warnings that they were not looking at the screen, because they were looking up while thinking. Two colleagues advised me that I am better off simply avoiding the programs. This is just one modification I made to my course to reduce student stress levels during the pandemic, when stress was already so high for so many.",harmful_to_students,harmful_to_students->increased_stress,,,,,,
R_2PzKOOn0yHeLdVF,"""1. Primarily, I did not have the time or bandwidth to learn how to use them. As an adjunct, I was feeling overwhelmed with the work I had, and I did not have the time or inclination to invent more new things for my class. 2. I son't really trust that they work. How do you actually know that the camera will capture cheating? And does this mean that I then need to review the videos or information collected by the software?""",did_not_have_time,does_not_trust_tools,,,,,,
R_1rqRoO7vHJP4Vh1,just did not choose to use them,does_not_use,,,,,,,
R_31FSGNhja32PnoS,I used them in the summer sessions for 2020 and 2021.,used_previously,,,,,,,
R_1NyVWtmGrLfvswm,"The exams are already only line, they have been used for a few semesters and the grad distribution seems consistent. And, the course project is worth more than 50% of the grade",project_based_exams,used_previously,,,,,,
R_24Bl50GG9gnxnww,I don't give exams.,no_exams,,,,,,,
R_2YMvWaESi0rZX5E,I don't believe we should be using these tools. I think it's an infringement on a student's privacy and there is room for error in determining that a student did something wrong. If we can't proctor in person I don't think proctoring should be involved and we should identify another type of assignment. I would personally not like to have to take an exam in this type of environment. It's stressful enough and then you have this software and technology at play as well.,harmful_to_students,privacy_concerns,,,,,,
R_2WZ1vAHPkYDJ5rS,Students report feeling violated by their use. I came up with effective ways of encouraging academic honesty without their use.,harmful_to_students,,,,,,,
R_vpKTSO9KtxwyzfP,"Incredible invasion of student privacy, diminishes trust-based relationship between students and faculty, delegitimizes honor system, creates a culture of disciplinary surveillance and punitive retribution not in line with educational ethics and culture.",privacy_concerns,trusts_students,,,,,,
R_qEZVjMViTlsTs3v,"They do not work. They might provide the faculty some comfort level but, in practice, they are more trouble.",does_not_trust_tools,,,,,,,
R_1rD3FVbOKN57yWz,because I gave (open-book) take-home exams containing questions that required integration of information and analytical tools provided in class.,open_book_exam,,,,,,,
R_1QxVeuN5pqhS8yR,"I didn't have much information on their availability and how to use them. Ultimately, I trusted the students, which proved to be a mistake. Several of them collaborated on the midterm. I would definitely use on line proctoring if I taught a class online again.",unaware,unsure_how_to_use,trusts_students,,,,,
R_sjwQZjSvOL4N0iZ,I was not aware of such tools. I asked the students to keep their cameras on and reminded them of the honor code.,unaware,,,,,,,
R_10JkyaqtghvvPfm,I didn't know they were available,unaware,,,,,,,
R_3lLJ0ctWXHKfOGE,narrative responses,written_based_exams,,,,,,,
R_2cpU0t03W588QiF,"Too much work, learning curve, lack of time to learn and set up",unsure_how_to_use,,,,,,,
R_3fUjQeLbWYhY2Xk,I decided to replace the exam with a written paper,written_based_exams,,,,,,,
R_PtbOw21pU4MF2jn,I do not give examinations or tests in any of my classes.,no_exams,,,,,,,
R_DdkxPAgkOOEIdk5,"""Two reasons: (1) I did not know how the remote proctoring works, which saftware to use, how to set it up etc. I did not know where to start or to get help. It seemed to me that it would require a bigger time investment on my part than I was interested in making for a one time use. (2) From what i read about remote proctoring, it sounded like students might feel that I distrusted them, that their living space and family's privacy was invaded, and that they were subject to an uncomfortable level of surveillance. Given the stress, anxiety, and mental health issues many students were already reporting, I was reluctant to add this. At the beginning of the semester, I did ask students if they have had any experiece in other classes with remote proctoring that they would share with me but I received no responses.""",unsure_how_to_use,harmful_to_students,harmful_to_students->invasive,,,,,
R_Q3Wg7U7OJHejNzb,The specific courses taught during this time frame did not require such technology.,not_required,,,,,,,
R_3L83vOnqHOsrXho,Previous semesters of our online course had been automatically placed on the proctoring service by the department and students got very upset about the invasive level of the software. They complained to us and complained very strongly to the head of the program. The professors for our course did not know that the proctoring software was being used until students complained about the software. We immediately requested that proctoring software no longer be used for any of our future semesters of the course. This is why the software was not used during the semesters you have listed in this survey.,harmful_to_students,harmful_to_students->invasive,,,,,,
R_3dRiR1mLN9H3dfW,"Student complaints about privacy and technological difficulties, university request/demand not to use proctoring software during the semester. Students also complained that use of remote proctoring software was offensive/disrespectful and eroded their relationship with instructors.",harmful_to_students,,,,,,,
R_3PXf5ekMhWZBCgv,I did not know of their availability,unaware,,,,,,,
R_vYo0aOyeWA8X3vX,"The online course I teach requires writing assignments, but not any exams.",written_based_exams,,,,,,,
R_3dXM08HWKFjSA8p,I think as a teacher we should treat students like competent and honest people until they prove to be otherwise. I also have read too many descriptions of how these tools falsely accuse students of dishonesty. Why treat students like criminals? What happens when you treat them as trustworthy instead?,trusts_students,does_not_trust_tools,,,,,,
R_2fqGPHTepa52Wwd,Privacy concerns. I also allow open book and open note exams and focus on application and not memorization.,privacy_concerns,open_book_exam,,,,,,
R_3k079VHoAfDLM30,"Because I was already overwhelmed with figuring out other issues with online instruction, and also it struck me as creepy, and also I like to imagine that my students can be trusted.",trusts_students,unsure_how_to_use,,,,,,
R_NWiV5Rt0f9plEu5,"most of my coursework at that time was adjunct and I did not have to utilize written exams as much for the content I was responsible for as it was more practical work, papers, etc.",written_based_exams,,,,,,,
R_3JIfP3sdUgTi1XS,"course assignments are consist of projects, discussions, and papers. no exams",project_based_exams,,,,,,,
